nohup: ignoring input
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:47 UTC][ZED][INFO] Using USB input... Switched to default resolution HD720
[2026-04-17 17:29:47 UTC][ZED][INFO] [Init]  Depth mode: PERFORMANCE
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera successfully opened.
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera FW version: 1523
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Video mode: HD720@60
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Serial Number: S/N 39159189
[2026-04-17 17:29:49 UTC][ZED][WARNING] [Init]  Self-calibration failed. Point the camera towards a more textured and brighter area. Avoid objects closer than 1 meter (Error code: 0x01) 
[2026-04-17 17:29:49 UTC][ZED][INFO] init
[ZedMapper] ZED 2i initialised, spatial mapping enabled
 * Serving Flask app 'combined_server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.4:5000
Press CTRL+C to quit
127.0.0.1 - - [17/Apr/2026 12:32:12] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:12] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:15] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:15] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:18] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:18] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:21] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:21] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:26] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:29] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:32] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:35] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:38] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:41] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:44] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:47] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:50] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:53] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:56] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:59] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:03] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:03] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:06] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:06] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:09] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:09] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:12] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:12] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:15] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:15] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:18] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:18] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:21] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:21] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:33:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:34:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:34:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:34:00] "GET /map_status HTTP/1.1" 200 -
